iteration,Model,AUC,Winner
166,HYBRID,0.5,False
166,LOGIT,0.6708194905869325,False
167,STRUCT,0.7609211775878443,True
167,HYBRID,0.5,False
167,LOGIT,0.49002849002849,False
168,STRUCT,0.8915032679738563,True
168,HYBRID,0.5,False
168,LOGIT,0.5509803921568628,False
169,STRUCT,0.8354430379746834,True
169,HYBRID,0.5,False
169,LOGIT,0.4891500904159132,False
170,STRUCT,0.8463414634146341,True
170,HYBRID,0.5,False
170,LOGIT,0.5287804878048781,False
171,STRUCT,0.7708333333333334,True
171,HYBRID,0.5,False
171,LOGIT,0.6074074074074074,False
172,STRUCT,0.8773923444976075,True
172,HYBRID,0.5,False
172,LOGIT,0.5287081339712918,False
173,STRUCT,0.8776595744680851,True
173,HYBRID,0.5,False
173,LOGIT,0.6423895253682488,False
174,STRUCT,0.8363453815261044,True
174,HYBRID,0.5,False
174,LOGIT,0.6149598393574298,False
175,STRUCT,0.825497287522604,True
175,HYBRID,0.5,False
175,LOGIT,0.6765370705244124,False
176,STRUCT,0.8134920634920635,True
176,HYBRID,0.5,False
176,LOGIT,0.4932539682539683,False
177,STRUCT,0.8824390243902439,True
177,HYBRID,0.5,False
177,LOGIT,0.5585365853658537,False
178,STRUCT,0.8120689655172414,True
178,HYBRID,0.5,False
178,LOGIT,0.5459770114942528,False
179,STRUCT,0.7944297082228117,True
179,HYBRID,0.5,False
179,LOGIT,0.48231653404067193,False
180,STRUCT,0.7223145071982282,True
180,HYBRID,0.5,False
180,LOGIT,0.5534330011074197,False
181,STRUCT,0.8354037267080745,True
181,HYBRID,0.5,False
181,LOGIT,0.5248447204968945,False
182,STRUCT,0.7463768115942029,True
182,HYBRID,0.5,False
182,LOGIT,0.7419772256728779,False
183,STRUCT,0.8623188405797101,True
183,HYBRID,0.5,False
183,LOGIT,0.5745341614906831,False
184,STRUCT,0.7522148394241418,True
184,HYBRID,0.5,False
184,LOGIT,0.6611295681063123,False
185,STRUCT,0.9046184738955824,True
185,HYBRID,0.5,False
185,LOGIT,0.5938755020080321,False
186,STRUCT,0.8327796234772978,True
186,HYBRID,0.5,False
186,LOGIT,0.6334440753045405,False
187,STRUCT,0.8928212851405621,True
187,HYBRID,0.5,False
187,LOGIT,0.6664156626506025,False
188,STRUCT,0.8430481283422459,True
188,HYBRID,0.5,False
188,LOGIT,0.5745989304812834,False
189,STRUCT,0.9058536585365854,True
189,HYBRID,0.5,False
189,LOGIT,0.546829268292683,False
190,STRUCT,0.8602335164835165,True
190,HYBRID,0.5,False
190,LOGIT,0.5219780219780219,False
191,STRUCT,0.7491694352159468,True
191,HYBRID,0.5,False
191,LOGIT,0.6207087486157253,False
192,STRUCT,0.8297385620915033,True
192,HYBRID,0.5,False
192,LOGIT,0.6941176470588235,False
193,STRUCT,0.8651635720601238,True
193,HYBRID,0.5,False
193,LOGIT,0.6158267020335986,False
194,STRUCT,0.8958333333333333,True
194,HYBRID,0.5,False
194,LOGIT,0.580324074074074,False
195,STRUCT,0.8028735632183909,True
195,HYBRID,0.5,False
195,LOGIT,0.6626436781609195,False
196,STRUCT,0.9082887700534759,True
196,HYBRID,0.5,False
196,LOGIT,0.5775401069518716,False
197,STRUCT,0.8346405228758169,True
197,HYBRID,0.5,False
197,LOGIT,0.6588235294117647,False
198,STRUCT,0.8423694779116465,True
198,HYBRID,0.5,False
198,LOGIT,0.5316265060240964,False
199,STRUCT,0.8361423220973783,True
199,HYBRID,0.5,False
199,LOGIT,0.6916354556803995,False
200,STRUCT,0.8206521739130435,True
200,HYBRID,0.5,False
200,LOGIT,0.49818840579710144,False
201,STRUCT,0.8468660968660969,True
201,HYBRID,0.5,False
201,LOGIT,0.537037037037037,False
202,STRUCT,0.7567811934900542,True
202,HYBRID,0.5,False
202,LOGIT,0.5189873417721519,False
203,STRUCT,0.8175287356321839,True
203,HYBRID,0.5,False
203,LOGIT,0.5077586206896552,False
204,STRUCT,0.778735632183908,True
204,HYBRID,0.5,False
204,LOGIT,0.4818965517241379,False
205,STRUCT,0.9416208791208791,True
205,HYBRID,0.5,False
205,LOGIT,0.5333104395604396,False
206,STRUCT,0.9130434782608695,True
206,HYBRID,0.5,False
206,LOGIT,0.679089026915114,False
207,STRUCT,0.9228778467908902,True
207,HYBRID,0.5,False
207,LOGIT,0.4741200828157349,False
208,STRUCT,0.7879016064257028,True
208,HYBRID,0.5,False
208,LOGIT,0.5978915662650602,False
209,STRUCT,0.7552710843373494,True
209,HYBRID,0.5,False
209,LOGIT,0.5373995983935742,False
210,STRUCT,0.8658045977011494,True
210,HYBRID,0.5,False
210,LOGIT,0.5755747126436781,False
211,STRUCT,0.8648947951273532,True
211,HYBRID,0.5,False
211,LOGIT,0.5586932447397563,False
212,STRUCT,0.861764705882353,True
212,HYBRID,0.5,False
212,LOGIT,0.6537433155080213,False
213,STRUCT,0.7560240963855421,True
213,HYBRID,0.5,False
213,LOGIT,0.6410642570281124,False
214,STRUCT,0.7831937799043062,True
214,HYBRID,0.5,False
214,LOGIT,0.590011961722488,False
215,STRUCT,0.7883022774327123,True
215,HYBRID,0.5,False
215,LOGIT,0.5916149068322981,False
216,STRUCT,0.8962962962962963,True
216,HYBRID,0.5,False
216,LOGIT,0.6106481481481482,False
217,STRUCT,0.860645933014354,True
217,HYBRID,0.5,False
217,LOGIT,0.6626794258373205,False
218,STRUCT,0.723529411764706,True
218,HYBRID,0.5,False
218,LOGIT,0.5235294117647059,False
219,STRUCT,0.8302277432712215,True
219,HYBRID,0.5,False
219,LOGIT,0.5517598343685299,False
220,STRUCT,0.8918300653594772,True
220,HYBRID,0.5,False
220,LOGIT,0.6421568627450981,False
221,STRUCT,0.7782526115859448,True
221,HYBRID,0.5,False
