year,country,EAR,ROA,LLR,LIQ,AG,WFS,SFP,CDL,frag_capital,frag_profit,frag_assetq,frag_liquidity,stress_score,y_true,y_alt,EAR_lag1,ROA_lag1,LLR_lag1,LIQ_lag1,prev_y
2023,Malawi,0.038783482142857144,0.5722773097638447,0.0,,,0.0,,8.528670878435475,1,0,0,0,1,0,1,0.004901816847127914,0.11278437341664371,0.0,,0.0
2024,Malawi,0.051001187319781816,0.133658740783446,0.0,,,0.0,,0.04697498537198816,0,0,0,0,0,0,0,0.038783482142857144,0.5722773097638447,0.0,,0.0
2004,Namibia,,,0.0,,,,,,0,0,0,0,0,0,0,,,,,
2005,Namibia,0.09713030518498919,0.01770099624574866,0.0,0.05638840226348124,,0.06763587549533764,0.09713030518498919,0.0,0,0,0,1,1,0,1,,,0.0,,0.0
2006,Namibia,0.09107501611507324,0.000874471291272833,0.0,0.10422320316633941,0.18521829721627237,0.025478523861987578,0.09107501611507324,0.0,0,0,0,1,1,0,1,0.09713030518498919,0.01770099624574866,0.0,0.05638840226348124,0.0
2007,Namibia,0.09504371110938775,0.002500897791378133,0.0,0.0708268363554342,0.09304610336211572,0.03592968987483125,0.09504371110938775,0.0,0,0,0,1,1,0,1,0.09107501611507324,0.000874471291272833,0.0,0.10422320316633941,0.0
2008,Namibia,0.0997603669135322,0.004476971793935097,0.0,0.07751335644443572,0.1385548193630355,0.031006887167676783,0.0997603669135322,0.0,0,0,0,1,1,0,1,0.09504371110938775,0.002500897791378133,0.0,0.0708268363554342,0.0
2009,Namibia,0.09669391920886765,0.003262263831656616,0.0,0.08560298232032126,0.14692218803452373,0.020460233148399353,0.09669391920886765,0.0,0,0,0,1,1,0,1,0.0997603669135322,0.004476971793935097,0.0,0.07751335644443572,0.0
2010,Namibia,0.10592921208849727,0.003071103494711522,0.0,0.08613352841035687,0.08038384623762873,0.025097706484720504,0.10592921208849727,0.0,0,0,0,1,1,0,1,0.09669391920886765,0.003262263831656616,0.0,0.08560298232032126,0.0
2011,Namibia,0.09635851183370725,0.004069471216874825,0.0,0.12951979494640475,0.16447086247312548,0.026167185223747176,0.09635851183370725,0.0,0,0,0,1,1,0,1,0.10592921208849727,0.003071103494711522,0.0,0.08613352841035687,0.0
2012,Namibia,0.0973407766246669,0.003000940804860447,0.0,0.09794260713232371,0.11834422593433347,0.0480389756253845,0.0973407766246669,0.0,0,0,0,1,1,0,1,0.09635851183370725,0.004069471216874825,0.0,0.12951979494640475,0.0
2013,Namibia,0.1010318507381993,0.002955907613097904,0.0,0.09238810994305749,0.1479157414029555,0.050480566846211196,0.1010318507381993,0.0,0,0,0,1,1,0,1,0.0973407766246669,0.003000940804860447,0.0,0.09794260713232371,0.0
2014,Namibia,0.10281808196557977,0.003389294833970685,0.0,0.09488906054699588,0.132228341634667,0.06766698882533304,0.10281808196557977,0.0,0,0,0,1,1,0,1,0.1010318507381993,0.002955907613097904,0.0,0.09238810994305749,0.0
2015,Namibia,0.10633336482444466,0.003457668913586529,0.0,0.08036135344773783,0.14642256034930612,0.06645641903473974,0.10633336482444466,0.0,0,0,0,1,1,0,1,0.10281808196557977,0.003389294833970685,0.0,0.09488906054699588,0.0
2016,Namibia,0.1105429458403604,0.0039120338031340685,0.0,0.07959230497602983,0.10133944695184205,0.07508233697837052,0.1105429458403604,0.0,0,0,0,1,1,0,1,0.10633336482444466,0.003457668913586529,0.0,0.08036135344773783,0.0
2017,Namibia,0.10829419123013369,0.0034630266222743233,0.0,0.09474576692139083,0.11103972890741742,0.07896192528425977,0.10829419123013369,0.0,0,0,0,1,1,0,1,0.1105429458403604,0.0039120338031340685,0.0,0.07959230497602983,0.0
2018,Namibia,0.11513859065399029,0.0029957258523799373,0.0,0.09328187408051637,0.08120300987992768,0.08330908943419463,0.11513859065399029,0.0,0,0,0,1,1,0,1,0.10829419123013369,0.0034630266222743233,0.0,0.09474576692139083,0.0
